kind,size_bytes,size_mib,ns_per_touch
normal,4096,0.00390625,31.25
normal,8192,0.0078125,26.125
normal,16384,0.015625,15.625
normal,32768,0.03125,13
normal,65536,0.0625,13.0312
normal,131072,0.125,10.4219
normal,262144,0.25,13.3516
normal,524288,0.5,10.0898
normal,1048576,1,25.7969
normal,4194304,4,31.9619
normal,16777216,16,53.2175
normal,33554432,32,91.7104
normal,67108864,64,147.256
normal,134217728,128,110.644
normal,268435456,256,357.692
normal,536870912,512,753.639
normal,1073741824,1024,589.439
